brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Μέγεθοςζάντας,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Σύνολοκατόχων,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Ρύποι(co2),Κλάσηρύπων,Κίνηση,Χρηματοδότηση
Mercedes-Benz,G63AMG,2021,Mercedes-Benz G 63 AMG '21,Mercedes-BenzG63AMG585HP'21,334494318,269.970€Χωρίςφπα,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2021,29.000χλμ,Βενζίνη,3.982cc,585bhp,Αυτόματο,Μαύρο(Μεταλλικό),Μαύρο,Δέρμα,,20ίντσες,,,Άγνωστο,,10,5,5,1ημέραπριν,227,www.car.gr/334494318,"2221028844,6937470705","['Abs', 'Adaptive cruise control (acc)', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Keyless', 'Lane assist', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αερανάρτηση', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μπλοκέ διαφορικό', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Συναγερμός', 'Τηλέφωνο', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,,4x4(4WD),
Mitsubishi,SpaceStar,2018,Mitsubishi Space Star '18  1.2 ClearTec Edition,MitsubishiSpaceStar1.2ClearTecEdition100+CVT'18,334269780,13.000€,Μεταχειρισμένο,Κόμπακτ/Hatchback,2/2018,85.000χλμ,Βενζίνη,1.193cc,80bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),Μαύρο,Ύφασμα,7/2025,16ίντσες,90€,,Άγνωστο,1,,5,5,14ώρεςπριν,32,www.car.gr/334269780,"2111828007,6980169919",[],100g/km,Euro6,,"230,01€/μήνα"
Bmw,520,2000,"Bmw 520 '00 E39,Full Extra,28αρι","Bmw520E39,FullExtra,28αριΜοτερ'00",327594320,10.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2000,200.000χλμ,Αέριο(lpg)-βενζίνη,2.800cc,220bhp,Αυτόματο,Μπλεσκούρο(Μεταλλικό),Μαύρο,Δέρμα,10/2024,18ίντσες,,,Άγνωστο,2,6,5,5,11ώρεςπριν,5952,www.car.gr/327594320,"6936277350,2104316863,6936277350","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Δερμάτινα καθίσματα', 'Εγγύηση', 'Ελληνικής αντιπροσωπείας', 'Επέκταση εγγύησης', 'Επιταγές δεκτές', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,Πισωκίνητο(RWD),
Opel,Astra,2006,Opel Astra '06,OpelAstraGtc'06,333394171,4.600€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2006,200.000χλμ,Βενζίνη,1.600cc,110bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),,,12/2023,16ίντσες,,,Ζυγό,1,5,3,4,2ώρεςπριν,2108,www.car.gr/333394171,6983057003,[],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opel,Corsa,2016,Opel Corsa '16 1.3 CDTI,"OpelCorsa1.3CDTIecoflex,Aytomatic,'16",332276335,12.500€,Μεταχειρισμένο,Κουπέ-Σπόρ,1/2016,113.000χλμ,Πετρέλαιο,1.250cc,95bhp,Αυτόματο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,3/2025,16ίντσες,,,Άγνωστο,1,6,5,5,11ώρεςπριν,875,www.car.gr/332276335,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα xenon']",,Euro6,Προσθιοκίνητο(FWD),
Volkswagen,Golf,2014,Volkswagen Golf '14  1.4 TSI ACT  BlueMotion,VolkswagenGolf1.4TSIACTBlueMotionFull'14,331943912,19.000€,Μεταχειρισμένο,Κουπέ-Σπόρ,4/2014,128.000χλμ,Βενζίνη,1.400cc,140bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,1/2025,19ίντσες,,,Άγνωστο,1,8,5,5,11ώρεςπριν,3576,www.car.gr/331943912,"6936277350,2104316863,6936277350","['Abs', 'Android auto', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Turbo', 'Tv\\u002Fcamera', 'Usb', 'Αισθητήρας βροχής', 'Αντ\\u002Fγή με σκάφος δεκτή', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Δερμάτινα καθίσματα', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Οροφή ηλεκτρική \\u002F ηλίου', 'Πιστωτική κάρτα δεκτή', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led', 'Φώτα xenon', 'Φώτα που στρίβουν']",,Euro6,Προσθιοκίνητο(FWD),
Peugeot,2008,2020,Peugeot 2008 '20  PureTech 110 STOP&START,Peugeot2008PureTech110STOP&STARTUrban'20,334482063,23.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,4/2020,77.000χλμ,Πετρέλαιο,1.500cc,110bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Δίχρωμο,Ύφασμα,6/2025,16ίντσες,,,Άγνωστο,,8,5,5,11ώρεςπριν,36,www.car.gr/334482063,"6936277350,2104316863,6936277350","['Abs', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ανταλλαγή με μοτο', 'Απόσυρσης-δικαίωμα', 'Ατρακάριστο', 'Βιβλίο service', 'Γραμμάτια δεκτά', 'Εγγύηση', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Πιστωτική κάρτα δεκτή', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού', 'Φώτα led']",,,,
Volkswagen,Passat,2017,"Volkswagen Passat '17 1,6 BLUEMOTION 120HP","VolkswagenPassat1,6BLUEMOTION120HPΕΛΛΗΝΙΚΟ'17",331696197,15.300€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2017,171.000χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,2/2025,16ίντσες,103€,,Ζυγό,,8,5,5,14ώρεςπριν,1336,www.car.gr/331696197,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",105g/km,Euro6,,
Volkswagen,Passat,2017,"Volkswagen Passat '17 1,6 BLUEMOTION 120HP","VolkswagenPassat1,6BLUEMOTION120HPΕΛΛΗΝΙΚΟ'17",331494399,15.800€,Μεταχειρισμένο,Λιμουζίνα/Sedan,1/2017,160.500χλμ,Πετρέλαιο,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,2/2025,16ίντσες,103€,,Μονό,,8,4,5,14ώρεςπριν,879,www.car.gr/331494399,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Bucket καθίσματα', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ανταλλαγή με car δεκτή', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",105g/km,Euro6,Προσθιοκίνητο(FWD),
Opel,Astra,2019,"Opel Astra '19 120 YEARS 1,6 DIESEL","OpelAstra120YEARS1,6DIESELΕΛΛΗΝΙΚΟ'19",331491925,12.800€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2019,191.000χλμ,Πετρέλαιο,1.600cc,110bhp,Χειροκίνητο,Ασπρο,Γκρι,Ύφασμα,,16ίντσες,,,Μονό,,6,5,5,14ώρεςπριν,1325,www.car.gr/331491925,2105690550,"['Abs', 'Android auto', 'Apple carplay', 'Bluetooth', 'Cruise control', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Tcs - asr', 'Turbo', 'Usb', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",115g/km,,,
Toyota,Yaris,2018,Toyota Yaris '18 1.4 D-4D ΕΛΛΗΝΙΚΟ,ToyotaYaris1.4D-4DΕΛΛΗΝΙΚΟ5D'18,329635924,10.400€,Μεταχειρισμένο,Κόμπακτ/Hatchback,7/2018,238.000χλμ,Πετρέλαιο,1.400cc,90bhp,Χειροκίνητο,Ασπρο,,Ύφασμα,,,,,Ζυγό,,6,5,5,14ώρεςπριν,2083,www.car.gr/329635924,2105690550,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Tcs - asr', 'Turbo', 'Ατρακάριστο', 'Ελληνικής αντιπροσωπείας', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κλιματισμός(a\\u002Fc)', 'Σύστημα μη σύγκρουσης', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",91g/km,,,
Fiat,Sedici,2007,"Fiat Sedici '07 1,6","FiatSedici1,64X4'07",326632979,6.800€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,7/2007,112.900χλμ,Βενζίνη,1.600cc,120bhp,Χειροκίνητο,Γκρι(Μεταλλικό),,Ύφασμα,,16ίντσες,,,Ζυγό,,6,5,5,14ώρεςπριν,5164,www.car.gr/326632979,2105690550,"['Abs', 'Bluetooth', 'Cd player', 'Esp', 'Immobilizer', 'Tcs - asr', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Ράγες οροφής', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,4x4(4WD),
